iso,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,umd_tree_cover_loss_from_fires__ha,country
POL,2007,57310.99658262397,246.50696629566193,Poland
POL,2008,47941.06021834381,311.2358861470964,Poland
POL,2009,46925.78426541429,202.36831789569007,Poland
POL,2010,71835.17455298483,682.4282033172548,Poland
POL,2011,56650.180834742314,326.1979418158442,Poland
POL,2012,54896.168004369065,762.1382628104298,Poland
POL,2013,35014.59256410198,239.7230078624197,Poland
POL,2014,56279.47319571337,266.0743313760377,Poland
POL,2015,42742.6667293659,53.15093198191625,Poland
POL,2016,86510.33713259728,376.43489516900826,Poland
POL,2017,96251.75379675842,369.54494583600257,Poland
POL,2018,96845.84624405165,220.01042852042534,Poland
POL,2019,76720.94128777205,237.43794716236545,Poland
POL,2020,74958.89001430916,292.5918673762978,Poland
POL,2021,77568.08842322197,377.3213058504992,Poland
POL,2022,72193.1183891896,264.17895462883257,Poland
POL,2023,76137.7393024401,197.4053665803993,Poland
SVK,2001,3897.393158987234,92.49086123947265,Slovakia
SVK,2002,4015.732504555672,52.51125706277344,Slovakia
SVK,2003,3750.001625422572,23.96043253008464,Slovakia
SVK,2004,4624.8624737167875,63.29132217440321,Slovakia
SVK,2005,27674.414933256627,324.3095024608959,Slovakia
SVK,2006,8022.866910631897,29.022804804398888,Slovakia
SVK,2007,9485.82304525595,62.11244679600262,Slovakia
SVK,2008,13466.113814846516,224.64622540092017,Slovakia
SVK,2009,11236.962885005476,37.81893380440538,Slovakia
SVK,2010,17103.917573657825,227.46749361954429,Slovakia
SVK,2011,11543.84554785697,121.67685853308372,Slovakia
SVK,2012,9169.581603317996,139.51663445860666,Slovakia
SVK,2013,5076.417439793476,6.47930869798611,Slovakia
SVK,2014,17366.378528836587,73.78033637976128,Slovakia
SVK,2015,5282.688760733925,4.556809549986979,Slovakia
SVK,2016,16942.84432520365,68.93422257005209,Slovakia
SVK,2017,14213.008150308406,41.76519620582466,Slovakia
SVK,2018,17698.550916022617,42.72326723975912,Slovakia
SVK,2019,10330.87194385793,7.73838692108507,Slovakia
SVK,2020,11947.178874957028,43.35443367054037,Slovakia
SVK,2021,6097.650247552323,24.295729459930552,Slovakia
SVK,2022,5206.699885010092,5.714556030592449,Slovakia
SVK,2023,9851.531550844238,24.32721818717014,Slovakia
SVN,2001,615.4603105099262,8.13098184965495,Slovenia
SVN,2002,723.8725078307987,35.612675690883265,Slovenia
SVN,2003,528.3497425860769,68.09622154359205,Slovenia
SVN,2004,1271.7874973490252,34.385163620568584,Slovenia
SVN,2005,1950.9542617248912,51.973103087968745,Slovenia
SVN,2006,1246.118948324072,25.11171878702474,Slovenia
SVN,2007,2106.6584842583256,141.30647699255033,Slovenia
SVN,2008,1856.8727201386496,45.284062878927955,Slovenia
SVN,2009,1951.3042367723267,7.036054164494358,Slovenia
SVN,2010,1433.951353421475,11.478607794889323,Slovenia
SVN,2011,1436.134583705566,11.220136574173178,Slovenia
SVN,2012,906.481677945401,116.58879570464167,Slovenia
SVN,2013,638.8880346707878,16.24737398457899,Slovenia
SVN,2014,5388.780866228773,59.091968176169715,Slovenia
SVN,2015,1024.5275249352433,0.9645174541710069,Slovenia
SVN,2016,5394.618919125782,5.0380621127560765,Slovenia
SVN,2017,4891.962532785028,14.335447431803386,Slovenia
SVN,2018,8236.427724768906,13.52632281251084,Slovenia
SVN,2019,3456.2120716735385,7.078390979042967,Slovenia
SVN,2020,3889.4175930889464,22.443099108072914,Slovenia
SVN,2021,2232.8264109211736,33.09116960214627,Slovenia
SVN,2022,2856.742143786088,690.260873588536,Slovenia
SVN,2023,4626.126619170407,229.83250239028274,Slovenia
CHE,2001,1165.2132473259592,13.164761910627169,Switzerland
CHE,2002,881.3039026882184,21.685504070204,Switzerland
CHE,2003,433.2828850644705,2.395395071963976,Switzerland
CHE,2004,3829.659122196805,209.57852685922674,Switzerland
CHE,2005,2321.120704449297,18.707879857758247,Switzerland
CHE,2006,2048.850495924794,10.571813299474828,Switzerland
CHE,2007,1852.2483516530692,22.173600795377606,Switzerland
CHE,2008,2419.2686401734927,29.22649990767795,Switzerland
CHE,2009,2274.4921636267054,12.315164879837242,Switzerland
CHE,2010,1737.9454622251908,10.687810305891928,Switzerland
CHE,2011,1939.8543180221052,42.43822589603501,Switzerland
CHE,2012,1518.0646772473158,28.568795170358072,Switzerland
CHE,2013,793.6246757030884,6.372341440700956,Switzerland
CHE,2014,1503.5526584378129,5.36327639342448,Switzerland
CHE,2015,772.5663227746636,0.5314235376671008,Switzerland
CHE,2016,1678.990098717602,5.620517255670573,Switzerland
CHE,2017,2542.414850989004,22.20314595206597,Switzerland
CHE,2018,3134.386774605056,6.827411958218317,Switzerland
CHE,2019,3518.709265741343,17.01459237716146,Switzerland
CHE,2020,3927.891163453767,17.58125342789931,Switzerland
CHE,2021,3455.912140181973,25.588828933734817,Switzerland
CHE,2022,1974.953453649401,4.1155702366080735,Switzerland
CHE,2023,3120.3043116466542,26.363205092667048,Switzerland
